"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#211","SZGEShape-HotAngle","Make","55x55x5 EA",,,"55","55","4.6","4.6","6",,"3",,,,
"#X#212","SZGEShape-HotAngle","Make","50x50x8 EA",,,"50","50","7.8","7.8","6",,"3",,,,
"#X#213","SZGEShape-HotAngle","Make","50x50x6 EA",,,"50","50","6","6","6",,"3",,,,
"#X#214","SZGEShape-HotAngle","Make","50x50x5 EA",,,"50","50","4.6","4.6","6",,"3",,,,
"#X#215","SZGEShape-HotAngle","Make","50x50x3 EA",,,"50","50","3","3","6",,"3",,,,
"#X#216","SZGEShape-HotAngle","Make","45x45x6 EA",,,"45","45","6","6","5",,"3",,,,
"#X#217","SZGEShape-HotAngle","Make","45x45x5 EA",,,"45","45","4.6","4.6","5",,"3",,,,
"#X#218","SZGEShape-HotAngle","Make","45x45x3 EA",,,"45","45","3","3","5",,"3",,,,
"#X#219","SZGEShape-HotAngle","Make","40x40x6 EA",,,"40","40","6","6","5",,"3",,,,
"#X#220","SZGEShape-HotAngle","Make","40x40x5 EA",,,"40","40","4.6","4.6","5",,"3",,,,
"#X#221","SZGEShape-HotAngle","Make","40x40x3 EA",,,"40","40","3","3","5",,"3",,,,
"#X#222","SZGEShape-HotAngle","Make","30x30x6 EA",,,"30","30","6","6","5",,"3",,,,
"#X#223","SZGEShape-HotAngle","Make","30x30x5 EA",,,"30","30","4.6","4.6","5",,"3",,,,
"#X#224","SZGEShape-HotAngle","Make","30x30x3 EA",,,"30","30","3","3","5",,"3",,,,
"#X#225","SZGEShape-HotAngle","Make","25x25x6 EA",,,"25","25","6","6","5",,"3",,,,
"#X#226","SZGEShape-HotAngle","Make","25x25x5 EA",,,"25","25","4.6","4.6","5",,"3",,,,
"#X#227","SZGEShape-HotAngle","Make","25x25x3 EA",,,"25","25","3","3","5",,"3",,,,
"#X#228","SZGEShape-HotAngle","Make","150x100x12 UA",,,"100","150","12","12","10",,"5",,,,
"#X#229","SZGEShape-HotAngle","Make","150x100x10 UA",,,"100","150","9.5","9.5","10",,"5",,,,
"#X#230","SZGEShape-HotAngle","Make","150x90x16 UA",,,"90","150","15.8","15.8","10",,"5",,,,
"#X#231","SZGEShape-HotAngle","Make","150x90x12 UA",,,"90","150","12","12","10",,"5",,,,
"#X#232","SZGEShape-HotAngle","Make","150x90x10 UA",,,"90","150","9.5","9.5","10",,"5",,,,
"#X#233","SZGEShape-HotAngle","Make","150x90x8 UA",,,"90","150","7.8","7.8","10",,"5",,,,
"#X#234","SZGEShape-HotAngle","Make","125x75x12 UA",,,"75","125","12","12","8",,"5",,,,
